diff,noise,val_acc
Easy1,0.05,0.9931702017784119
Easy1,0.1,0.990346372127533
Easy1,0.15,0.9942495822906494
Easy1,0.2,0.9827288389205933
Easy1,0.25,0.9957550168037415
Easy1,0.3,0.991369366645813
Easy1,0.35,0.9920769929885864
Easy1,0.4,0.9929119944572449
Easy2,0.05,0.9906158447265625
Easy2,0.1,0.9954545497894287
Easy2,0.15,0.9964830279350281
Easy2,0.2,0.9903573393821716
Difficult1,0.05,0.945035457611084
Difficult1,0.1,0.8897911906242371
Difficult1,0.15,0.9855991005897522
Difficult1,0.2,0.9613356590270996
Difficult2,0.05,0.9964328408241272
Difficult2,0.1,0.9942229986190796
Difficult2,0.15,0.9930232763290405
Difficult2,0.2,0.9942759275436401
