diff,noise,n_dims,acc
Easy1,0.05,14,0.9760956175298805
Easy1,0.1,14,0.969335604770017
Easy1,0.15,14,0.9948246118458884
Easy1,0.2,14,0.9936672423719056
Easy1,0.25,14,0.9927228623408126
Easy1,0.3,14,0.6478711162255466
Easy1,0.35,14,0.6287492925863045
Easy1,0.4,14,0.67690490253987
Easy2,0.05,14,0.6340175953079179
Easy2,0.1,14,0.6454545454545455
Easy2,0.15,14,0.6524032825322391
Easy2,0.2,14,0.6437889960294951
Difficult1,0.05,14,0.9184397163120568
Difficult1,0.1,14,0.3462877030162413
Difficult1,0.15,14,0.6284562211981567
Difficult1,0.2,14,0.36145284124194493
Difficult2,0.05,14,0.9244946492271106
Difficult2,0.1,14,0.9676487579433853
Difficult2,0.15,14,0.6401162790697674
Difficult2,0.2,14,0.6451058958214081
