diff,noise,n_dims,acc
Easy1,0.15,2,0.5583668775158137
Difficult1,0.15,2,0.5576036866359447
Easy1,0.15,3,0.9735480161012076
Difficult1,0.15,3,0.5472350230414746
Easy1,0.15,4,0.9821736630247269
Difficult1,0.15,4,0.5558755760368663
Easy1,0.15,5,0.9838987924094307
Difficult1,0.15,5,0.5685483870967742
Easy1,0.15,6,0.9902242668200115
Difficult1,0.15,6,0.570852534562212
Easy1,0.15,7,0.9896492236917769
Difficult1,0.15,7,0.543778801843318
Easy1,0.15,8,0.9919493962047153
Difficult1,0.15,8,0.4118663594470046
Easy1,0.15,9,0.9919493962047153
Difficult1,0.15,9,0.5806451612903226
Easy1,0.15,10,0.9919493962047153
Difficult1,0.15,10,0.5806451612903226
Easy1,0.15,11,0.99252443933295
Difficult1,0.15,11,0.581221198156682
Easy1,0.15,12,0.9919493962047153
Difficult1,0.15,12,0.6163594470046083
Easy1,0.15,13,0.9948246118458884
Difficult1,0.15,13,0.3859447004608295
Easy1,0.15,14,0.9948246118458884
Difficult1,0.15,14,0.6284562211981567
Easy1,0.15,15,0.9718228867165037
Difficult1,0.15,15,0.6382488479262672
Easy1,0.15,16,0.9695227142035653
Difficult1,0.15,16,0.6129032258064516
